x1,x2,x3,x4
-40.0,-86.0,-40.0,-40.0
-40.0,-27.0,-40.0,-40.0
-40.0,-37.0,-35.0,-40.0
-40.0,-39.0,-29.0,-40.0
-40.0,-39.0,-39.0,-40.0
-40.0,-25.0,-33.0,-40.0
-40.0,-27.0,-40.0,-40.0
-40.0,-27.0,-29.0,-40.0
-40.0,-35.0,-37.0,-40.0
-40.0,-25.0,-35.0,-40.0
-40.0,-40.0,-35.0,-40.0
-40.0,-40.0,-39.0,-40.0
-40.0,-25.0,-27.0,-40.0
-40.0,-29.0,-29.0,-40.0
-40.0,-39.0,-31.0,-40.0
-40.0,-31.0,-39.0,-40.0
-40.0,-33.0,-27.0,-40.0
-40.0,-33.0,-37.0,-40.0
-40.0,-33.0,-40.0,-40.0
-40.0,-37.0,-39.0,-40.0
-40.0,-35.0,-80.0,-40.0
-40.0,-27.0,-31.0,-40.0
-40.0,-25.0,-37.0,-40.0
-40.0,-37.0,-33.0,-40.0
-40.0,-29.0,-35.0,-40.0
-40.0,-33.0,-35.0,-40.0
-40.0,-37.0,-33.0,-40.0
-40.0,-27.0,-31.0,-40.0
-40.0,-27.0,-29.0,-40.0
-40.0,-86.0,-35.0,-40.0
-40.0,-40.0,-37.0,-40.0
-40.0,-29.0,-35.0,-40.0
-40.0,-29.0,-35.0,-40.0
-40.0,-82.0,-40.0,-40.0
-40.0,-33.0,-39.0,-40.0
-40.0,-31.0,-40.0,-40.0
-40.0,-39.0,-40.0,-40.0
-40.0,-31.0,-35.0,-40.0
-40.0,-31.0,-33.0,-40.0
-40.0,-29.0,-33.0,-40.0
-40.0,-31.0,-40.0,-40.0
-40.0,-40.0,-33.0,-40.0
-40.0,-27.0,-37.0,-40.0
-40.0,-40.0,-31.0,-40.0
-40.0,-29.0,-40.0,-40.0
-40.0,-37.0,-37.0,-40.0
-40.0,-35.0,-40.0,-40.0
-40.0,-31.0,-40.0,-40.0
-40.0,-78.0,-40.0,-40.0
-40.0,-33.0,-39.0,-40.0
