Message,MaxUCT,DPUCT,UCTStar,MCTS
Baseline - MausamKolobov,647,710,688,793
Baseline - maze-7-A2,482904,103671,43508,494400
Baseline - maze-15-A2,1584558,1175118,287221,1822408
Mutables - MausamKolobov,839,886,881,789
Mutables - maze-7-A2,426660,123079,53446,809677
Mutables - maze-15-A2,1894522,1513588,347787,1821273
Outcomes - MausamKolobov,624,682,686,779
Outcomes - maze-7-A2,1061202,104661,44319,422843
Outcomes - maze-15-A2,1625047,1664516,307581,1818815
InitState - MausamKolobov,2866,3068,3028,2548
InitState - maze-7-A2,385102,56286,21108,290079
InitState - maze-15-A2,1598025,1894786,231302,1823872
Retry base - MausamKolobov,2788,3132,3011,2557
Retry base - maze-7-A2,284256,56169,20927,313153
Retry base - maze-15-A2,1616684,1866300,255070,1825259
Baseline - maze-7-A2,115875,30206,21204,168123
Baseline - maze-15-A2,865122,1051679,188345,1057552
Baseline - maze-25-A2,2666601,3451288,400268,2641201
Baseline - maze-7-A2,115578,30140,21297,113928
Baseline - maze-15-A2,857736,1047198,231585,1055465
Baseline - maze-25-A2,2659472,3394786,409613,2644716
Baseline - maze-51-A2,6155996,7675819,662378,4743188
